d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,50,0,0.5,1.51,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.5,249944,249943,0,624389,1250288,0.998803,0.499396,0
0.6,299777,299777,0,603181,1498912,1.5,0.402413,0
0.7,349812,349810,0,527970,1749475,2.3036,0.301788,0
0.8,399438,399434,0,399265,2002699,4.03335,0.199363,0
0.9,449643,449361,282,228894,2249494,8.59996,0.101754,0.000627164
1,500965,489593,11367,41750,2500333,26.3584,0.0166978,0.0226902
1.1,548249,499160,49047,2582,2747422,40.1227,0.00093979,0.0894612
1.2,599781,500541,99193,18,2998986,44.9901,6.00203e-06,0.165382
1.3,650194,499545,150605,3,3249702,46.6801,9.23162e-07,0.231631
1.4,699415,499128,200237,21,3500392,47.5133,5.99933e-06,0.286292
1.5,750988,501478,249460,20,3748077,47.9909,5.33607e-06,0.332176
