d,l,f,c,k,ri,rl,ru,rs
1000,2000,5,1000000,-1,0,0.25,0.95,0.1
rho,numArrivals,numDepartures,numDropped,numIdles,numObservations,E[N],P_IDLE,P_LOSS
0.25,125064,125064,0,468859,624453,0.332919,0.750832,0
0.35,174791,174791,0,569388,875306,0.537421,0.650502,0
0.45,224926,224926,0,618965,1123967,0.815327,0.550697,0
0.55,275357,275356,0,614128,1373807,1.24491,0.447026,0
0.65,325085,325082,0,569541,1625262,1.86002,0.35043,0
0.75,375135,375132,0,473158,1875088,2.98123,0.252339,0
0.85,423509,423507,0,325599,2124167,5.49358,0.153283,0
0.95,475011,474954,0,115901,2376707,19.4308,0.0487654,0
